,headline,cities,latitude,longitude,countrycode,cluster
58,New Zika Case Confirmed in Sarasota County,Sarasota,27.33643,-82.53065,US,0
59,Lower Hospitalization in Entebbe after Rabies Vaccine becomes Mandatory,Entebbe,0.05621,32.479490000000006,UG,6
60,Second Zika Paitient in Brasilia,Brasilia,-15.779720000000001,-47.92972,BR,1
61,Jacksonville man hit by Zika,Jacksonville,30.332179999999997,-81.65565,US,0
62,Schools in Shenzhen Closed Due to Malaria Outbreak,Shenzhen,22.54554,114.0683,CN,3
63,Caracas patient dies,Caracas,10.488010000000001,-66.87919000000001,VE,0
64,More Quezon City Zika Transmissions,Quezon City,14.6488,121.0509,PH,3
65,Schools in Sydney Closed Due to Respiratory Syncytial Virus Outbreak,Sydney,-33.86785,151.20731999999998,AU,4
66,Mumbai's Health Minister warns of more Zika cases,Mumbai,19.07283,72.88261,IN,3
67,Pune woman diagnosed with Zika,Pune,18.51957,73.85535,IN,3
68,Hospitals in Hanoi fill up with Zika patients,Hanoi,21.0245,105.84116999999999,VN,3
69,Authorities are Worried about the Spread of Bronchitis in Silver Spring,Silver Spring,38.99067,-77.02609,US,0
70,Zika: Delhi for strict monitoring,Delhi,28.65195,77.23149000000001,IN,3
71,Belize City under threat from Zika,Belize City,17.49952,-88.19756,BZ,0
72,"Student sick in Campinas, Brazil",Campinas,-22.90556,-47.060829999999996,BR,1
73,More Zika cases in Soyapango,Soyapango,13.710239999999999,-89.13989000000001,SV,0
74,Authorities are Worried about the Spread of Mad Cow Disease in Rome,Rome,41.89193,12.511330000000001,IT,2
75,Seoul confirms 14th Zika infection,Seoul,37.566,126.9784,KR,3
76,Hepatitis B Vaccine is now Required in Quebec,Quebec,46.81228,-71.21454,CA,0
77,Zika outbreak spreads to Mexico City,Mexico City,19.42847,-99.12765999999999,MX,0
78,Rochester authorities confirmed the spread of Dengue,Rochester,43.15478,-77.61556,US,0
79,El Paso fighting Zika,El Paso,31.75872,-106.48693,US,0
80,Visitor to Cucuta contracts Zika,Cucuta,7.893910000000001,-72.50782,CO,0
81,Zika now spreading through Jakarta,Jakarta,-6.21462,106.84513000000001,ID,3
82,Salt Lake City tests new cure for Respiratory Syncytial Virus,Salt Lake City,40.76078,-111.89105,US,0
83,Zika San Antonio Patient Speaks Out,San Antonio,29.424120000000002,-98.49363000000001,US,0
84,Ebola outbreak in Kampala,Kampala,0.31628,32.582190000000004,UG,6
85,Precautionary Zika measures in Rockhampton,Rockhampton,-23.38032,150.50595,AU,4
86,Zika arrives in Tegucigalpa,Tegucigalpa,14.0818,-87.20681,HN,0
87,New Zika Case Confirmed in Belo Horizonte,Belo Horizonte,-19.92083,-43.93778,BR,1
88,Case of Hepatitis E Reported in Melbourne,Melbourne,-37.814,144.96331999999998,AU,4
89,First Columbus Zika case,Columbus,39.96118,-82.99879,US,0
90,New medicine wipes out Tuberculosis in Taipei,Taipei,25.04776,121.53185,TW,3
91,"Zika Patient in Seminole, Florida",Seminole,27.83975,-82.79120999999999,US,0
92,Antipolo under threat from Zika Virus,Antipolo,14.625779999999999,121.12251,PH,3
93,Spreading Zika reaches Bacoor,Bacoor,14.458960000000001,120.93851000000001,PH,3
94,Can Zika make it here to Vero Beach?,Can,40.03328,27.052359999999997,TR,-1
95,Zika afflicts patient in Calamba,Calamba,14.211670000000002,121.16528000000001,PH,3
96,Hollywood Outbreak Film Premieres,Hollywood,34.09834,-118.32673999999999,US,0
97,Petaling Jaya man ill from Zika,Petaling Jaya,3.1072599999999997,101.60670999999999,MY,3
98,Malaria is Spreading in Johannesburg,Johannesburg,-26.202270000000002,28.04363,ZA,7
99,Authorities are Worried about the Spread of Norovirus in Buenos Aires,Buenos Aires,-34.61315,-58.377230000000004,AR,1
100,Guangzhou Patient in Critical Condition after Contracting Swine Flu,Guangzhou,23.116670000000003,113.25,CN,3
101,Doral hit by Deadly Virus,Doral,25.81954,-80.35533000000001,US,0
102,Tokyo Encounters Severe Symptoms of Meningitis,Tokyo,35.6895,139.69171,JP,3
103,Rabies Exposure in Hamilton,Hamilton,43.25011,-79.84963,CA,0
104,Authorities are Worried about the Spread of Influenza in Savannah,Savannah,32.08354,-81.09983000000001,US,0
105,Zika Outbreak in Hyderabad,Hyderabad,17.38405,78.45636,IN,3
106,Birmingham Residents Recieve Rabies vaccine,Birmingham,52.48141999999999,-1.89983,GB,2
107,Is Zika virus in Majuro?,Majuro,7.08971,171.38027,MH,-1
108,Spreading Zika ruining Cancun fun,Cancun,21.17429,-86.84656,MX,0
109,Cancun hit by Outbreak of Party Fever!,Cancun,21.17429,-86.84656,MX,0
110,HIV has Arrived in Fairfax,Fairfax,38.84622,-77.30637,US,0
111,Spanish Flu Outbreak in Barcelona,Barcelona,41.38879,2.15899,ES,2
112,Santa Barbara tests new cure for Hepatitis C,Santa Barbara,34.42083,-119.69819,US,0
113,Spring break ruined by Zika in Fort Lauderdale,Spring,30.07994,-95.41716,US,0
114,Villavicencio under Zika threat,Villavicencio,4.1419999999999995,-73.62664000000001,CO,0
115,Two more Zika cases confirmed in Laredo,Laredo,27.50641,-99.50754,US,0
116,New Delhi Addressing Zika Concerns,New Delhi,28.635759999999998,77.22445,IN,3
117,"New Zika Case in Kota Kinabalu, Malaysia",Kota Kinabalu,5.9749,116.0724,MY,3
118,New medicine wipes out West Nile Virus in Ventura,Ventura,34.27834,-119.29316999999999,US,0
119,Meningitis re-emerges in Nassau,Nassau,25.05823,-77.34306,BS,0
120,"Zika reaches Johor Bahru, Malaysia",Johor Bahru,1.4655,103.7578,MY,3
121,Nha Trang Zika Outbreak,Nha Trang,12.24507,109.19431999999999,VN,3
122,First Zika Case in Cincinnati,Cincinnati,39.127109999999995,-84.51439,US,0
123,Molo Cholera Spread Causing Concern,Molo,-0.24849000000000002,35.73194,KE,6
124,Norovirus Exposure in Hong Kong,Hong Kong,22.27832,114.17468999999998,HK,3
125,19 new Zika Cases in Sengkang,Sengkang,-4.1279,120.0297,ID,-1
126,Zika cases concern Charlotte residents,Charlotte,35.227090000000004,-80.84313,US,0
127,Batangas Tourism Takes a Hit as Virus Spreads,Batangas,13.7567,121.0584,PH,3
128,Johannesburg Patient in Critical Condition after Contracting Pneumonia,Johannesburg,-26.202270000000002,28.04363,ZA,7
129,Outbreak of Zika in Bacolod City,Bacolod City,10.66667,122.95,PH,3
130,Respiratory Syncytial Virus Keeps Spreading in Masaya,Masaya,11.97444,-86.09416999999999,NI,0
131,Spike of Pneumonia Cases in Springfield,Springfield,37.21533,-93.29824,US,0
132,Zika case reported in Jupiter,Jupiter,26.93422,-80.09421,US,0
133,Zika virus confirmed in Westchester,Westchester,25.754820000000002,-80.32727,US,0
134,Authorities are Worried about the Spread of Tuberculosis in Abuja,Abuja,9.05785,7.495080000000001,NG,8
135,Rumors about Hepatitis D Spreading in San Juan Capistrano have been Refuted,San Juan Capistrano,33.50169,-117.66255,US,0
136,The Spread of Measles in Spokane has been Confirmed,Spokane,47.659659999999995,-117.42908,US,0
137,Zika alert for Rio Grande Valley residents,Rio Grande,-32.035,-52.09861,BR,1
138,Zika symptoms spotted in Colombo,Colombo,6.93548,79.84868,LK,3
139,West Nile Virus Outbreak in Louisville,Louisville,38.25424,-85.75941,US,0
140,New details in Baton Rouge cop killings,Baton Rouge,30.44332,-91.18746999999999,US,0
141,Hepatitis B has not Left Florence,Florence,43.77925,11.246260000000001,IT,2
142,More Zika patients reported in Pensacola,Pensacola,30.42131,-87.21691,US,0
143,Outbreak of Zika in Corpus Christi,Corpus Christi,27.80058,-97.39638000000001,US,0
144,How to Avoid Rhinovirus in Lemon Grove,Lemon Grove,32.74255,-117.03142,US,0
145,Rumors about Rotavirus spreading in Huntsville have been refuted,Huntsville,34.7304,-86.58594000000001,US,0
146,Rhinovirus has Arrived in Athens,Athens,37.98376,23.72784,GR,-1
147,Outbreak of Zika in Panama City,Panama City,30.15946,-85.65983,US,0
148,Measles has not Left Brooklyn,Brooklyn,40.6501,-73.94958000000001,US,0
149,Escondido neighborhood to get sprayed for Zika virus,Escondido,33.119209999999995,-117.08641999999999,US,0
150,"Zika in Belmont, Belmont worry",Belmont,37.52021,-122.2758,US,0
151,Influenza has not Left Sacramento,Sacramento,38.58157,-121.4944,US,0
152,Veracruz hit by Zika Concerns,Veracruz,19.18095,-96.1429,MX,0
153,Case of Mumps Reported in Dayton,Dayton,39.75895,-84.19161,US,0
154,Authorities are Worried about the Spread of Dengue in Kingston,Kingston,17.997020000000003,-76.79358,JM,0
155,Gainesville Deals with Disease Concerns,Gainesville,29.651629999999997,-82.32483,US,0
156,Montevideo Encounters Severe Symptoms of Rotavirus,Montevideo,-34.90328,-56.188159999999996,UY,1
157,Varicella Keeps Spreading in Detroit,Detroit,42.33143,-83.04575,US,0
158,Arhus is infested with Bronchitis,Arhus,56.15674,10.21076,DK,2
159,Zika Troubles come to Niteroi,Niteroi,-22.883329999999997,-43.103609999999996,BR,1
160,Zika cases in Singapore reach 393,Singapore,1.28967,103.85007,SG,3
161,Manhattan Residents Recieve HIV vaccine,Manhattan,40.783429999999996,-73.96625,US,0
162,Zika arrives in Miri,Miri,4.39928,113.99163,MY,3
163,Rumors about Dengue Spreading in Syracuse have been Refuted,Syracuse,43.048120000000004,-76.14742,US,0
164,Will Norovirus vaccine help Raleigh?,Raleigh,35.7721,-78.63861,US,0
165,Lower Hospitalization in Auckland after Hepatitis D Vaccine becomes Mandatory,Auckland,-36.84853,174.76349,NZ,-1
166,How to Avoid Gonorrhea in Shreveport,Shreveport,32.52515,-93.75018,US,0
167,Ithaca is infested with Dengue,Ithaca,42.44063,-76.49661,US,0
168,Will MCD vaccine help Strasbourg?,Strasbourg,48.58392,7.7455300000000005,FR,2
169,New medicine wipes out Measles in Fresno,Fresno,36.74773,-119.77237,US,0
170,"BREAKING aEUR"" Zika in Missoula",Missoula,46.87215,-113.994,US,0
171,Zika arrives in Santos,Santos,-23.960829999999998,-46.33361,BR,1
172,Sick Livestock Leads to Serious Trouble for Belfort,Belfort,47.642179999999996,6.85385,FR,2
173,Hepatitis E has not Left Libreville,Libreville,0.39241,9.453560000000001,GA,8
174,New medicine wipes out Chikungunya in Tucson,Tucson,32.221740000000004,-110.92648,US,0
175,Norovirus has Arrived in Winnipeg,Winnipeg,49.8844,-97.14704,CA,0
176,Hepatitis B Comes to Kansas City,Kansas City,39.09973,-94.57857,US,0
177,More Patients in Cambridge are Getting Diagnosed with Chickenpox,Cambridge,52.2,0.11667000000000001,GB,2
178,Chikungunya Exposure in Toledo,Toledo,41.663940000000004,-83.55521,US,0
179,Is Lafayette prepared to combat Zika?,Lafayette,30.224090000000004,-92.01984,US,0
180,Mecca tests new cure for Chikungunya,Mecca,21.42664,39.82563,SA,9
181,Zika arrives in San Benito,San Benito,16.91675,-89.91898,GT,0
182,Syphilis Outbreak in Harrisburg,Harrisburg,40.2737,-76.88441999999999,US,0
183,Zika Arrives in North Miami,North Miami,25.89009,-80.18670999999999,US,0
184,Urbana Encounters Severe Symptoms of Meningitis,Urbana,40.11059,-88.20727,US,0
185,Pittsburgh Residents Recieve Norovirus vaccine,Pittsburgh,40.44062,-79.99589,US,0
186,Chikungunya Hits Denver,Denver,39.73915,-104.9847,US,0
187,Zika case recorded in Tunapuna A>>,Tunapuna,10.65245,-61.388780000000004,TT,0
188,Spike of Respiratory Syncytial Virus Cases in Mandalay,Mandalay,21.974729999999997,96.08359,MM,3
189,HIV Keeps Spreading in Boulder,Boulder,40.014990000000004,-105.27055,US,0
190,More Zika patients reported in Joao Pessoa,Joao Pessoa,-7.115,-34.86306,BR,1
191,Will Tuberculosis vaccine help Rockville?,Rockville,39.084,-77.15276,US,0
192,Mad Cow Disease Re-emerges in Chatham,Chatham,51.37891,0.52786,GB,2
193,Zika Virus Arrives in Ontario,Ontario,34.063340000000004,-117.65088999999999,US,0
194,Mad Cow Disease Hits Naples,Naples,40.85216,14.26811,IT,2
195,More Zika patients reported in Davao,Davao,7.073060000000001,125.61278,PH,3
196,The Spread of Chikungunya in Arcadia has been Confirmed,Arcadia,34.13973,-118.03533999999999,US,0
197,Oxford tests new cure for HIV,Oxford,51.75222,-1.25596,GB,2
198,Outbreak of Zika in Stephenville,Stephenville,32.2207,-98.20226,US,0
199,Providence Encounters Severe Symptoms of Dengue,Providence,41.82399,-71.41283,US,0
200,Tests negative on Windsor Zika carriers,Windsor,42.30008,-83.01654,CA,0
201,Zika battle outlined at Valdosta meeting,Valdosta,30.833340000000003,-83.28031999999999,US,0
202,Zika case reported in Coral Gables,Coral Gables,25.72149,-80.26838000000001,US,0
203,Hepatitis C Outbreak in Danbury,Danbury,41.39482,-73.45401,US,0
204,Chickenpox has Arrived in Chula Vista,Chula Vista,32.64005,-117.0842,US,0
205,Syphilis Hits Jefferson,Jefferson,38.86456,-77.18776,US,0
206,Will HIV vaccine help Las Vegas?,Las Vegas,36.17497,-115.13722,US,0
207,Zika arrives in West Palm Beach,West Palm Beach,26.71534,-80.05337,US,0
208,Mobile authorities confirmed the spread of Bronchitis,Mobile,30.694359999999996,-88.04305,US,0
209,Zika spreads to Daytona Beach,Daytona Beach,29.21081,-81.02283,US,0
210,Lausanne Residents Recieve Meningitis vaccine,Lausanne,46.516000000000005,6.63282,CH,2
211,Rhinovirus Comes to San Jose,San Jose,37.33939,-121.89496000000001,US,0
212,Spike of Chlamydia Cases in Farmington,Farmington,36.72806,-108.21869,US,0
213,Authorities are Worried about the Spread of Rotavirus in Union,Union,40.6976,-74.2632,US,0
214,Rumors about Hepatitis D spreading in Albany have been refuted,Albany,42.65258,-73.75623,US,0
215,Zika symptoms spotted in Bello,Bello,6.33732,-75.55795,CO,0
216,Will Meningitis vaccine help Hamburg?,Hamburg,53.57532,10.01534,DE,2
217,Madera Patient in Critical Condition after Contracting Rabies,Madera,36.96134,-120.06071999999999,US,0
218,Zika Virus Detected in Lubbock,Lubbock,33.57786,-101.85517,US,0
219,Malaria re-emerges in Boise,Boise,43.6135,-116.20345,US,0
220,Varicella re-emerges in Lagos,Lagos,6.45407,3.3946699999999996,NG,8
221,Vericella spreading in Ibadan,Ibadan,7.377560000000001,3.90591,NG,8
222,Schools in Birmingham Closed Due to Measles Outbreak,Birmingham,52.48141999999999,-1.89983,GB,2
223,How to Avoid Hepatitis B in Waldorf,Waldorf,38.624559999999995,-76.93914000000001,US,0
224,Tuberculosis Outbreak in Newark,Newark,40.735659999999996,-74.17237,US,0
225,Zika Virus Sparks 'International Concern',Sparks,39.534909999999996,-119.75268999999999,US,0
226,Spike of Chlamydia Cases in Berlin,Berlin,52.52437,13.41053,DE,2
227,Zika-carrying mosquitoes discovered in Ardmore,Ardmore,34.17426,-97.14363,US,0
228,"Zika Mosquitoes May Have Bred in Bromeliads, Florida Officials Say",Florida,21.52536,-78.22579,CU,0
229,More Livestock in Fontainebleau are infected with Mad Cow Disease,Fontainebleau,48.409079999999996,2.7017700000000002,FR,2
230,Frisco Woman Tests Positive For Zika Virus,Frisco,33.15067,-96.82361,US,0
231,Authorities are Worried about the Spread of Norovirus in Dubai,Dubai,25.07725,55.30927,AE,-1
232,Benton Residents Recieve Pneumonia vaccine,Benton,34.56454,-92.58683,US,0
233,Case of Hepatitis A Reported in Calgary,Calgary,51.05011,-114.08528999999999,CA,0
234,Zika Outbreak in Pinewood,Pinewood,25.86898,-80.21699,US,0
235,Will Swine Flu vaccine help Ljubljana?,Ljubljana,46.05108,14.50513,SI,2
236,Bronchitis re-emerges in Tehran,Tehran,35.694390000000006,51.42151,IR,10
237,Mad Cow case in Murcia,Murcia,37.98704,-1.13004,ES,2
238,Mad Cow Disease Spreads to Margate,Margate,51.38132,1.3861700000000001,GB,2
239,Zika Strikes St. Petersburg,St. Petersburg,27.77086,-82.67926999999999,US,0
240,Will the Mad Cow Outbreak Reach Vienna?,Vienna,48.208490000000005,16.37208,AT,2
241,More Patients in Orange are Getting Diagnosed with Chickenpox,Orange,33.78779,-117.85311000000002,US,0
242,Lower Hospitalization in Richmond after Mumps Vaccine becomes Mandatory,Richmond,37.55376,-77.46025999999999,US,0
243,Meningitis re-emerges in Medina,Medina,24.46861,39.61417,SA,9
244,Four cases of Zika in Hidalgo County,Hidalgo,25.97205,-100.45029,MX,0
245,Zika symptoms spotted in Hollywood,Hollywood,34.09834,-118.32673999999999,US,0
246,Zika arrives in Oaxaca,Oaxaca,17.06542,-96.72365,MX,0
247,More people in Durham are infected with Chlamydia every year,Durham,35.99403,-78.89862,US,0
248,Authorities are Worried about the Spread of Gonorrhea in Taoyuan City,Taoyuan City,24.993679999999998,121.29696000000001,TW,3
249,Swine Flu re-emerges in La Jolla,La Jolla,32.84727,-117.2742,US,0
250,Tuberculosis Outbreak in Hartford,Hartford,41.763709999999996,-72.68509,US,0
251,Rumors about Mumps Spreading in New Bedford have been Refuted,New Bedford,41.635259999999995,-70.92701,US,0
252,Respiratory Syncytial Virus Vaccine is now Required in Tulsa,Tulsa,36.15398,-95.99277,US,0
253,More people in Indianapolis are infected with Norovirus every year,Indianapolis,39.76838,-86.15804,US,0
254,Lower Hospitalization in Dhaka after Measles Vaccine becomes Mandatory,Dhaka,23.7104,90.40744000000001,BD,3
255,Albany Residents Recieve Respiratory Syncytial Virus vaccine,Albany,42.65258,-73.75623,US,0
256,Rotavirus Vaccine is now Required in Starkville,Starkville,33.45049,-88.81961,US,0
257,Schools in Yaounde Closed Due to Mumps Outbreak,Yaounde,3.8666699999999996,11.51667,CM,8
258,More people in Nadi are infected with HIV every year,Nadi,-17.80309,177.41617,FJ,11
259,Tocumen tests new cure for Hepatitis A,Tocumen,9.08939,-79.3831,PA,0
260,Phnom Penh hit by Zika Threat,Phnom Penh,11.56245,104.91601000000001,KH,3
261,Zika Troubles come to Harlingen,Harlingen,26.19063,-97.6961,US,0
262,Zika spreads to Barranquilla,Barranquilla,10.968539999999999,-74.78132,CO,0
263,Milwaukee authorities confirmed the spread of Rhinovirus,Milwaukee,43.0389,-87.90647,US,0
264,Mad Cow Disease Hits Rotterdam,Rotterdam,51.9225,4.47917,NL,2
265,Zika symptoms spotted in Arlington,Arlington,32.735690000000005,-97.10807,US,0
266,West Nile Virus Hits Yogyakarta,Yogyakarta,-7.80139,110.36471999999999,ID,3
267,More Patients in Dublin are Getting Diagnosed with Bronchitis,Dublin,53.333059999999996,-6.24889,IE,2
268,Rumors about Tuberculosis Spreading in Baud have been Refuted,Baud,20.83773,84.32618000000001,IN,3
269,Rumors about West Nile Virus Spreading in Salem have been Refuted,Salem,11.65376,78.15538000000001,IN,3
270,St. Catharines Patient in Critical Condition after Contracting Dengue,St. Catharines,43.17126,-79.24266999999999,CA,0
271,More Zika patients reported in Camacari,Camacari,-12.6975,-38.32417,BR,1
272,Outbreak of Zika in Pasig City,Pasig City,14.586910000000001,121.0614,PH,3
273,Zika Troubles come to Kampong Cham,Kampong Cham,11.99339,105.4635,KH,3
274,Zika case reported in Rizal,Rizal,15.7118,121.1061,PH,3
275,Zika Spreads to Palm Beach Gardens,Palm Beach Gardens,26.823390000000003,-80.13865,US,0
276,More people in Saint Petersburg are infected with Varicella every year,Saint Petersburg,59.93863,30.31413,RU,-1
277,Spike of Herpes Cases in Meriden,Meriden,41.53815,-72.80704,US,0
278,Zika case reported in Abilene,Abilene,32.44874,-99.73314,US,0
279,Outbreak of Zika in Palm Springs,Palm Springs,33.8303,-116.54529,US,0
280,Halifax is infested with Swine Flu,Halifax,44.64533,-63.572390000000006,CA,0
281,Zika arrives in Natal,Natal,-5.795,-35.20944,BR,1
282,Herpes Keeps Spreading in Rochester,Rochester,43.15478,-77.61556,US,0
283,Zika case reported in Phetchabun,Phetchabun,16.41904,101.16056,TH,3
284,How to Avoid Pneumonia in Bullhead City,Bullhead City,35.14778,-114.5683,US,0
285,West Nile Virus re-emerges in Wellington,Wellington,-41.286640000000006,174.77557,NZ,-1
286,Rumors about Pneumonia spreading in Ottawa have been refuted,Ottawa,45.41117,-75.69811999999999,CA,0
287,Meningitis re-emerges in Summerville,Summerville,33.0185,-80.17565,US,0
288,Pneumonia Symptoms Spread all over Bloomington,Bloomington,44.8408,-93.29828,US,0
289,More Patients in Stuttgart are Getting Diagnosed with Rabies,Stuttgart,48.78232,9.177019999999999,DE,2
290,Schools in Glasgow Closed Due to Hepatitis B Outbreak,Glasgow,55.86515,-4.257630000000001,GB,2
291,Phoenix Residents Recieve Syphilis vaccine,Phoenix,33.44838,-112.07404,US,0
292,Spanish flu spreading in Madrid,Madrid,40.4165,-3.70256,ES,2
293,Rabies Hits Madrid,Madrid,40.4165,-3.70256,ES,2
294,Zika Outbreak in Weslaco,Weslaco,26.15952,-97.99084,US,0
295,How to Avoid Chlamydia in Santiago,Santiago,-33.45694,-70.64827,CL,1
296,Rotavirus Vaccine is now Required in Las Cumbres,Las Cumbres,9.089160000000001,-79.52809,PA,0
297,Mumps Symptoms Spread all over Jefferson,Jefferson,38.86456,-77.18776,US,0
298,Mad Cow Outbreak Spreading in Ennis,Ennis,52.84361,-8.98639,IE,2
299,Southampton Patient in Critical Condition after Contracting Tuberculosis,Southampton,50.90395,-1.40428,GB,2
300,The Spread of Rhinovirus in Boardman has been Confirmed,Boardman,41.024229999999996,-80.66285,US,0
301,Richland Center is infested with Hepatitis B,Richland,46.28569,-119.28446000000001,US,0
302,Authorities are Worried about the Spread of Chickenpox in Richmond,Richmond,37.55376,-77.46025999999999,US,0
303,Chikungunya re-emerges in Kobe,Kobe,34.6913,135.183,JP,3
304,Malaria Vaccine is now Required in Schenectady,Schenectady,42.814240000000005,-73.93956999999999,US,0
305,Hepatitis D has Arrived in Grenoble,Grenoble,45.17869,5.71479,FR,2
306,West Nile Virus Symptoms Spread all over Yerevan,Yerevan,40.18111,44.51361,AM,10
307,Zika Outbreak in Sincelejo,Sincelejo,9.30472,-75.39778000000001,CO,0
308,Rumors about HIV spreading in Montpellier have been refuted,Montpellier,43.61092,3.8772300000000004,FR,2
309,Praia tests new cure for Pneumonia,Praia,14.93152,-23.512539999999998,CV,5
310,Lower Hospitalization in Lakewood after Hepatitis B Vaccine becomes Mandatory,Lakewood,39.70471,-105.08136999999999,US,0
311,Zika spreads to Kuching,Kuching,1.55,110.33333,MY,3
312,Spike of Rotavirus Cases in Omaha,Omaha,41.25626,-95.94043,US,0
313,Tuberculosis re-emerges in Silver Springs,Springs,-26.25,28.4,ZA,7
314,Will West Nile Virus vaccine help Coronado?,Coronado,32.68589,-117.18308999999999,US,0
315,Zika case confirmed in Lorain,Lorain,41.45282,-82.18236999999999,US,0
316,Chickenpox Hits Simpsonville,Simpsonville,34.73706,-82.25428000000001,US,0
317,Framingham Residents Receive Measles vaccine,Framingham,42.27926,-71.41617,US,0
318,Rumors about Mad Cow Disease Brighton have been Refuted,Brighton,50.828379999999996,-0.13947,GB,2
